Matrix Multiplication,Vector Transformation
8.21091e-07,4.10546e-07
8.21091e-07,0
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,0
8.21091e-07,4.10546e-07
1.23164e-06,0
1.64218e-06,4.10546e-07
2.46327e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,0
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
1.23164e-06,8.21091e-07
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
3.69491e-06,4.10546e-07
2.87382e-06,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
3.28436e-06,4.10546e-07
3.28436e-06,0
1.64218e-06,4.10546e-07
2.46327e-06,0
1.64218e-06,0
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,0
0,1.23164e-06
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,0
0,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
1.23164e-06,4.10546e-07
4.10546e-07,0
1.64218e-06,4.10546e-07
2.05273e-06,4.10546e-07
2.87382e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.05273e-06,8.21091e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
0,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
2.46327e-06,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
2.46327e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,0
1.23164e-06,4.10546e-07
2.87382e-06,4.10546e-07
3.69491e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
3.28436e-06,4.10546e-07
1.23164e-06,0
2.46327e-06,4.10546e-07
6.15818e-06,4.10546e-07
2.46327e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,0
2.05273e-06,4.10546e-07
2.46327e-06,4.10546e-07
4.10546e-07,1.64218e-06
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
2.05273e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.46327e-06,4.10546e-07
1.64218e-06,0
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
2.46327e-06,4.10546e-07
2.05273e-06,4.10546e-07
8.21091e-07,0
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,0
4.10546e-07,0
2.87382e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
0,0
2.87382e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,8.21091e-07
8.21091e-07,4.10546e-07
2.05273e-06,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
3.28436e-06,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,0
1.64218e-06,8.21091e-07
4.10546e-07,0
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
0,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
4.10546e-07,0
1.64218e-06,0
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
4.10546e-07,0
4.10546e-07,0
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
2.05273e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
2.05273e-06,4.10546e-07
1.23164e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,8.21091e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
4.516e-06,4.10546e-07
3.28436e-06,4.10546e-07
8.21091e-07,0
8.21091e-07,4.10546e-07
3.69491e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
3.28436e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,8.21091e-07
1.64218e-06,4.10546e-07
1.23164e-06,0
0,4.10546e-07
0,4.10546e-07
0,4.10546e-07
8.21091e-07,4.10546e-07
0,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
0,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
1.23164e-06,0
4.10546e-07,0
8.21091e-07,4.10546e-07
8.21091e-07,0
1.23164e-06,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
2.46327e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
0,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
0,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
2.46327e-06,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.516e-06
2.46327e-06,0
4.10546e-07,0
1.23164e-06,0
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
0,4.10546e-07
0,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
0,0
0,4.10546e-07
4.10546e-07,0
4.10546e-07,0
0,4.10546e-07
0,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
0,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
4.10546e-07,0
0,4.10546e-07
0,4.10546e-07
4.10546e-07,0
4.10546e-07,0
0,4.10546e-07
4.10546e-07,0
4.10546e-07,0
0,4.10546e-07
0,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
0,0
4.10546e-07,4.10546e-07
2.05273e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
3.28436e-06,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,0
8.21091e-07,4.10546e-07
8.21091e-07,0
4.10546e-07,0
0,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
2.05273e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
8.21091e-07,0
4.10546e-07,0
1.23164e-06,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
2.46327e-06,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,0
1.23164e-06,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
0,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
8.21091e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
0,4.10546e-07
4.10546e-07,0
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
0,4.10546e-07
4.10546e-07,0
0,4.10546e-07
4.10546e-07,0
2.05273e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,0
2.05273e-06,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
0,4.10546e-07
8.21091e-07,4.10546e-07
0,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,0
1.64218e-06,0
8.21091e-07,0
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
0,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
1.23164e-06,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,0
4.10546e-07,0
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
1.23164e-06,0
2.05273e-06,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.05273e-06,4.10546e-07
2.05273e-06,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
2.46327e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.46327e-06,8.21091e-07
1.23164e-06,4.10546e-07
1.64218e-06,0
2.05273e-06,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
1.23164e-06,0
4.10546e-07,4.10546e-07
8.21091e-07,0
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
3.28436e-06,0
8.21091e-07,4.10546e-07
0,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
2.05273e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
2.46327e-06,4.10546e-07
0,4.10546e-07
4.10546e-07,4.10546e-07
2.46327e-06,4.10546e-07
8.21091e-07,0
4.10546e-07,4.10546e-07
2.46327e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
0,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
0,4.10546e-07
0,0
4.10546e-07,0
2.46327e-06,4.10546e-07
4.10546e-07,4.10546e-07
0,0
1.64218e-06,4.10546e-07
2.46327e-06,4.10546e-07
1.23164e-06,0
2.05273e-06,4.10546e-07
2.46327e-06,4.10546e-07
1.64218e-06,0
1.64218e-06,4.10546e-07
1.64218e-06,0
3.69491e-06,4.10546e-07
1.23164e-06,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
4.10546e-07,4.10546e-07
4.10546e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,0
4.10546e-07,0
4.10546e-07,0
4.10546e-07,0
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,0
4.10546e-07,0
0,4.10546e-07
4.10546e-07,0
4.10546e-07,0
1.23164e-06,0
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
2.05273e-06,0
1.23164e-06,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,0
0,0
4.10546e-07,0
8.21091e-07,4.10546e-07
3.28436e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.46327e-06,4.10546e-07
1.23164e-06,4.10546e-07
1.64218e-06,0
3.28436e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,0
0,4.10546e-07
8.21091e-07,0
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,0
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
1.23164e-06,8.21091e-07
4.10546e-07,0
1.64218e-06,4.10546e-07
0,0
0,0
2.05273e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.64218e-06,0
1.64218e-06,4.10546e-07
4.10546e-07,0
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
0,0
2.05273e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.87382e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
1.23164e-06,0
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.87382e-06,4.10546e-07
3.28436e-06,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
2.05273e-06,4.10546e-07
8.21091e-07,0
2.05273e-06,4.10546e-07
2.46327e-06,4.10546e-07
3.69491e-06,4.10546e-07
2.05273e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.05273e-06,0
3.28436e-06,4.10546e-07
8.21091e-07,0
2.87382e-06,4.10546e-07
8.21091e-07,4.10546e-07
2.05273e-06,4.10546e-07
8.21091e-07,0
8.21091e-07,0
1.64218e-06,4.10546e-07
4.10546e-07,8.21091e-07
4.10546e-07,4.10546e-07
1.23164e-06,0
1.23164e-06,4.10546e-07
1.23164e-06,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,0
8.21091e-07,4.10546e-07
2.46327e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,0
1.64218e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
1.23164e-06,4.10546e-07
1.64218e-06,4.10546e-07
2.87382e-06,4.10546e-07
2.87382e-06,0
2.87382e-06,4.10546e-07
4.92655e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
2.87382e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
1.64218e-06,0
1.23164e-06,4.10546e-07
2.46327e-06,4.10546e-07
8.21091e-07,4.10546e-07
2.87382e-06,0
4.10546e-07,4.10546e-07
8.21091e-07,0
2.05273e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.05273e-06,0
8.21091e-07,0
1.23164e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,0
2.87382e-06,4.10546e-07
4.10546e-07,0
8.21091e-07,4.10546e-07
8.21091e-07,0
1.64218e-06,4.10546e-07
4.10546e-07,0
2.46327e-06,8.21091e-07
1.64218e-06,4.10546e-07
4.10546e-07,0
2.46327e-06,4.10546e-07
2.05273e-06,0
2.87382e-06,0
4.10546e-07,0
1.64218e-06,4.10546e-07
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,0
2.05273e-06,4.10546e-07
2.05273e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
3.69491e-06,4.10546e-07
2.46327e-06,4.10546e-07
1.64218e-06,4.10546e-07
2.87382e-06,4.10546e-07
4.10546e-07,0
3.69491e-06,0
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
1.64218e-06,0
1.64218e-06,4.10546e-07
1.23164e-06,4.10546e-07
4.10546e-07,4.10546e-07
2.46327e-06,0
4.10546e-07,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
2.87382e-06,4.10546e-07
8.21091e-07,0
4.10546e-07,4.10546e-07
2.05273e-06,0
0,4.10546e-07
4.10546e-07,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,8.21091e-07
8.21091e-07,0
4.10546e-07,4.10546e-07
2.05273e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,4.10546e-07
2.87382e-06,4.10546e-07
1.64218e-06,4.10546e-07
2.87382e-06,4.10546e-07
2.87382e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,0
4.10546e-07,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-06,4.10546e-07
1.64218e-06,4.10546e-07
8.21091e-07,4.10546e-07
2.05273e-06,4.10546e-07
1.23164e-06,4.10546e-07
1.64218e-06,4.10546e-07
2.05273e-06,4.10546e-07
2.05273e-06,4.10546e-07
1.23164e-06,4.10546e-07
8.21091e-07,4.10546e-07
8.21091e-07,0
2.05273e-06,4.10546e-07
2.87382e-06,4.10546e-07
8.21091e-07,4.10546e-07
1.23164e-06,4.10546e-07
1.64218e-06,4.10546e-07
4.10546e-07,4.10546e-07
4.10546e-07,0
4.10546e-07,4.10546e-07
2.05273e-06,4.10546e-07
2.46327e-06,0
